correct_source_tie_fraction,correct_source_top1,cosine_alignment,distance_reduction,distance_to_donor_l2,future_source_index,future_source_seed,native_separation_l2,nearest_native_seed,nearest_tie_count,normalized_final_distance,normalized_projection,orthogonal_residual,recipient_index,recipient_seed,separation_quartile,separation_quartile_label,state_id,task_family
1.0,1,0.9964792966978697,0.9103770358563,0.06579519380345251,2,227,0.7341332038288493,227,1,0.08962296414369994,1.024533822781832,0.08619957796655728,0,211,1,Q1 (smallest),droid_episode_016483_frame_000077,move
1.0,1,0.9981224083434511,0.9384647676651261,0.09914400357071153,3,229,1.6111746036997339,229,1,0.061535232334873916,1.0021471404082527,0.06149776098830069,0,211,3,Q3,droid_episode_016483_frame_000077,move
1.0,1,0.9988767847202201,0.9473376683359949,0.05416154042055994,0,211,1.0284683322819816,211,1,0.05266233166400512,1.0207105806227819,0.04841893252186511,1,223,2,Q2,droid_episode_016483_frame_000077,move
1.0,1,0.9952535006466788,0.9024114938586523,0.07196735107676447,2,227,0.7374572469889695,227,1,0.09758850614134777,0.9977783028327205,0.09756321331627395,1,223,1,Q1 (smallest),droid_episode_016483_frame_000077,move
1.0,1,0.9964264406761296,0.9120626660161811,0.09053520541613834,3,229,1.0295423037591458,229,1,0.08793733398381891,0.9684862427946572,0.08209663705039578,1,223,2,Q2,droid_episode_016483_frame_000077,move
1.0,1,0.9986162461942106,0.9473634954281634,0.03864220573967426,0,211,0.7341332038288493,211,1,0.05263650457183658,0.9994693398959985,0.05263382955281702,2,227,1,Q1 (smallest),droid_episode_016483_frame_000077,move
1.0,1,0.9962121366252692,0.9110867136227115,0.06556974739253697,1,223,0.7374572469889695,223,1,0.08891328637728843,1.0109208038033757,0.08824006198262713,2,227,1,Q1 (smallest),droid_episode_016483_frame_000077,move
1.0,1,0.9976363906696848,0.9312569997665532,0.07243975497493545,3,229,1.053776453296112,229,1,0.06874300023344687,0.9972656610638305,0.06868859782873593,2,227,2,Q2,droid_episode_016483_frame_000077,move
1.0,1,0.9995044493984684,0.9669250717798293,0.05328948436753061,0,211,1.6111746036997339,211,1,0.03307492822017066,1.0091576955743626,0.03178187358443079,3,229,3,Q3,droid_episode_016483_frame_000077,move
1.0,1,0.9964904980539717,0.9145621990853677,0.08796183038176572,1,223,1.0295423037591458,223,1,0.08543780091463223,0.9759381649754195,0.08197954574391227,3,229,2,Q2,droid_episode_016483_frame_000077,move
1.0,1,0.997986881549023,0.9365689751709695,0.06684212037327336,2,227,1.053776453296112,227,1,0.06343102482903049,0.9971203493800525,0.06336562572221723,3,229,2,Q2,droid_episode_016483_frame_000077,move
1.0,1,0.9952110001540769,0.8985138303706202,0.13635535004647906,1,223,1.3435855402212822,223,1,0.10148616962937988,1.0175975567754474,0.0999488300160546,0,211,3,Q3,droid_episode_016591_frame_000130,pick
1.0,1,0.9996447843748522,0.973343307774575,0.14413550931707503,2,227,5.407104080963183,227,1,0.02665669222542499,0.9987662701454166,0.026628127066073256,0,211,4,Q4 (largest),droid_episode_016591_frame_000130,pick
1.0,1,0.9987371670632903,0.9462635344865052,0.07536509788916902,3,229,1.402494510366387,229,1,0.05373646551349472,0.9784333710817639,0.04921877937318345,0,211,3,Q3,droid_episode_016591_frame_000130,pick
1.0,1,0.9976140378716124,0.9300581211002867,0.09397289714556278,0,211,1.3435855402212822,211,1,0.06994187889971329,1.0064157262190103,0.06964700195345715,1,223,3,Q3,droid_episode_016591_frame_000130,pick
1.0,1,0.9995737501328152,0.9708053275390974,0.16353062220248615,2,227,5.601385746714089,227,1,0.0291946724609026,0.9992518233388963,0.029185084063321876,1,223,4,Q4 (largest),droid_episode_016591_frame_000130,pick
